,prospect_id,industry,business_size,region,offer_type,acquisition_channel,credit_score_band,years_in_business,mailer_sent_date,response_date,response_flag,acquisition_flag,mailing_cost_usd,estimated_monthly_charge_volume_usd,roi,cost_per_acquisition,prospect_value_tier,days_to_respond,year_month
16,100016,Education,Small (10-49),Midwest,0% Intro APR,Cold List,700-749,15+ yrs,2024-06-01,,0,0,2.04,0.0,-1.0,,Not Acquired,,2024-06
17,100017,Retail,Micro (1-9),Midwest,No Annual Fee,Partner Referral,750-799,3-7 yrs,2024-09-08,,0,0,1.68,0.0,-1.0,,Not Acquired,,2024-09
18,100018,Education,Micro (1-9),Northeast,Rewards Points 3x,Past Inquiry,700-749,7-15 yrs,2023-01-28,,0,0,2.04,0.0,-1.0,,Not Acquired,,2023-01
19,100019,Education,Small (10-49),Southeast,Cash Back 2%,Lookalike Audience,800+,1-3 yrs,2024-07-28,2024-08-10,1,0,1.81,0.0,-1.0,,Not Acquired,13 days,2024-07
20,100020,Logistics,Micro (1-9),Midwest,Travel Miles 2x,Partner Referral,650-699,15+ yrs,2024-10-27,,0,0,2.16,0.0,-1.0,,Not Acquired,,2024-10
21,100021,Manufacturing,Small (10-49),Northeast,0% Intro APR,Partner Referral,700-749,15+ yrs,2024-12-19,,0,0,1.95,0.0,-1.0,,Not Acquired,,2024-12
22,100022,Manufacturing,Medium (50-249),Northeast,No Annual Fee,Cold List,700-749,7-15 yrs,2024-07-12,,0,0,1.69,0.0,-1.0,,Not Acquired,,2024-07
23,100023,Technology,Small (10-49),West,0% Intro APR,Partner Referral,700-749,3-7 yrs,2024-03-05,,0,0,1.95,0.0,-1.0,,Not Acquired,,2024-03
24,100024,Finance,Micro (1-9),Midwest,Travel Miles 2x,Cold List,800+,15+ yrs,2023-08-14,,0,0,2.35,0.0,-1.0,,Not Acquired,,2023-08
25,100025,Technology,Medium (50-249),West,No Annual Fee,Lookalike Audience,700-749,15+ yrs,2024-04-04,2024-04-29,1,0,1.62,0.0,-1.0,,Not Acquired,25 days,2024-04
26,100026,Technology,Micro (1-9),Northeast,Rewards Points 3x,Partner Referral,750-799,15+ yrs,2023-10-12,,0,0,2.02,0.0,-1.0,,Not Acquired,,2023-10
27,100027,Healthcare,Micro (1-9),Southeast,Rewards Points 3x,Cold List,700-749,3-7 yrs,2023-01-07,,0,0,2.14,0.0,-1.0,,Not Acquired,,2023-01
28,100028,Real Estate,Medium (50-249),Northeast,No Annual Fee,Cold List,600-649,3-7 yrs,2023-06-13,,0,0,1.6,0.0,-1.0,,Not Acquired,,2023-06
29,100029,Technology,Micro (1-9),Southwest,Rewards Points 3x,Cold List,700-749,3-7 yrs,2024-12-15,,0,0,2.09,0.0,-1.0,,Not Acquired,,2024-12
30,100030,Real Estate,Medium (50-249),Northeast,Travel Miles 2x,Cold List,750-799,3-7 yrs,2024-03-08,,0,0,2.21,0.0,-1.0,,Not Acquired,,2024-03
31,100031,Finance,Small (10-49),West,Travel Miles 2x,Lookalike Audience,800+,7-15 yrs,2023-12-15,,0,0,2.17,0.0,-1.0,,Not Acquired,,2023-12
32,100032,Technology,Medium (50-249),Midwest,Travel Miles 2x,Past Inquiry,700-749,7-15 yrs,2023-10-12,,0,0,2.16,0.0,-1.0,,Not Acquired,,2023-10
33,100033,Retail,Micro (1-9),Northeast,Rewards Points 3x,Cold List,750-799,7-15 yrs,2023-06-09,,0,0,2.19,0.0,-1.0,,Not Acquired,,2023-06
34,100034,Finance,Small (10-49),Midwest,Travel Miles 2x,Lookalike Audience,600-649,1-3 yrs,2023-08-09,,0,0,2.21,0.0,-1.0,,Not Acquired,,2023-08
35,100035,Manufacturing,Micro (1-9),Southeast,Rewards Points 3x,Lookalike Audience,700-749,7-15 yrs,2023-12-11,,0,0,2.09,0.0,-1.0,,Not Acquired,,2023-12
36,100036,Finance,Medium (50-249),Southwest,Rewards Points 3x,Lookalike Audience,650-699,<1 yr,2023-04-15,,0,0,2.13,0.0,-1.0,,Not Acquired,,2023-04
37,100037,Education,Large (250+),Southwest,0% Intro APR,Past Inquiry,750-799,15+ yrs,2023-04-05,,0,0,1.88,0.0,-1.0,,Not Acquired,,2023-04
38,100038,Technology,Medium (50-249),Southeast,0% Intro APR,Cold List,600-649,7-15 yrs,2024-01-25,,0,0,1.86,0.0,-1.0,,Not Acquired,,2024-01
39,100039,Retail,Small (10-49),West,Rewards Points 3x,Past Inquiry,750-799,3-7 yrs,2023-04-10,,0,0,2.1,0.0,-1.0,,Not Acquired,,2023-04
40,100040,Hospitality,Medium (50-249),West,No Annual Fee,Cold List,800+,3-7 yrs,2024-01-03,,0,0,1.7,0.0,-1.0,,Not Acquired,,2024-01
41,100041,Healthcare,Micro (1-9),West,Travel Miles 2x,Lookalike Audience,800+,7-15 yrs,2023-12-19,,0,0,2.16,0.0,-1.0,,Not Acquired,,2023-12
42,100042,Logistics,Micro (1-9),Midwest,0% Intro APR,Cold List,700-749,15+ yrs,2024-09-10,,0,0,1.87,0.0,-1.0,,Not Acquired,,2024-09
43,100043,Manufacturing,Small (10-49),West,No Annual Fee,Cold List,750-799,15+ yrs,2023-09-28,,0,0,1.69,0.0,-1.0,,Not Acquired,,2023-09
44,100044,Finance,Small (10-49),Southeast,No Annual Fee,Past Inquiry,750-799,15+ yrs,2023-02-14,,0,0,1.73,0.0,-1.0,,Not Acquired,,2023-02
45,100045,Retail,Micro (1-9),West,Rewards Points 3x,Cold List,650-699,7-15 yrs,2024-04-15,,0,0,2.1,0.0,-1.0,,Not Acquired,,2024-04
46,100046,Retail,Medium (50-249),Northeast,Cash Back 2%,Lookalike Audience,700-749,7-15 yrs,2024-07-03,,0,0,1.8,0.0,-1.0,,Not Acquired,,2024-07
47,100047,Real Estate,Large (250+),Midwest,No Annual Fee,Cold List,650-699,7-15 yrs,2023-05-08,,0,0,1.59,0.0,-1.0,,Not Acquired,,2023-05
48,100048,Retail,Small (10-49),Southwest,Cash Back 2%,Cold List,800+,<1 yr,2024-01-23,,0,0,1.75,0.0,-1.0,,Not Acquired,,2024-01
49,100049,Finance,Micro (1-9),West,0% Intro APR,Partner Referral,650-699,1-3 yrs,2023-03-22,,0,0,1.87,0.0,-1.0,,Not Acquired,,2023-03
50,100050,Retail,Small (10-49),Midwest,Cash Back 2%,Partner Referral,650-699,3-7 yrs,2024-07-19,,0,0,1.78,0.0,-1.0,,Not Acquired,,2024-07
51,100051,Real Estate,Micro (1-9),Southeast,Rewards Points 3x,Cold List,700-749,<1 yr,2023-10-28,,0,0,2.05,0.0,-1.0,,Not Acquired,,2023-10
52,100052,Logistics,Micro (1-9),Southwest,No Annual Fee,Past Inquiry,800+,7-15 yrs,2024-10-05,,0,0,1.7,0.0,-1.0,,Not Acquired,,2024-10
53,100053,Logistics,Small (10-49),Southeast,0% Intro APR,Cold List,800+,1-3 yrs,2024-09-25,,0,0,2.01,0.0,-1.0,,Not Acquired,,2024-09
54,100054,Finance,Medium (50-249),Northeast,0% Intro APR,Past Inquiry,650-699,<1 yr,2024-01-06,,0,0,1.93,0.0,-1.0,,Not Acquired,,2024-01
55,100055,Construction,Small (10-49),West,No Annual Fee,Partner Referral,750-799,1-3 yrs,2024-08-14,,0,0,1.72,0.0,-1.0,,Not Acquired,,2024-08
56,100056,Logistics,Micro (1-9),Midwest,No Annual Fee,Lookalike Audience,700-749,1-3 yrs,2023-07-16,,0,0,1.67,0.0,-1.0,,Not Acquired,,2023-07
57,100057,Real Estate,Small (10-49),Midwest,0% Intro APR,Cold List,700-749,3-7 yrs,2024-12-22,2024-12-31,1,1,2.01,7391.61,72.5484,2.01,Mid Value,9 days,2024-12
58,100058,Finance,Small (10-49),Southeast,0% Intro APR,Cold List,700-749,3-7 yrs,2023-02-16,,0,0,1.92,0.0,-1.0,,Not Acquired,,2023-02
59,100059,Technology,Large (250+),Southwest,Cash Back 2%,Lookalike Audience,800+,15+ yrs,2024-11-08,,0,0,1.82,0.0,-1.0,,Not Acquired,,2024-11
60,100060,Manufacturing,Small (10-49),Northeast,Rewards Points 3x,Past Inquiry,700-749,1-3 yrs,2023-08-22,,0,0,2.13,0.0,-1.0,,Not Acquired,,2023-08
61,100061,Technology,Small (10-49),Midwest,Travel Miles 2x,Cold List,750-799,1-3 yrs,2023-10-24,,0,0,2.24,0.0,-1.0,,Not Acquired,,2023-10
62,100062,Real Estate,Micro (1-9),West,No Annual Fee,Cold List,700-749,3-7 yrs,2023-03-23,,0,0,1.66,0.0,-1.0,,Not Acquired,,2023-03
63,100063,Healthcare,Micro (1-9),Southeast,No Annual Fee,Cold List,700-749,1-3 yrs,2023-08-27,,0,0,1.68,0.0,-1.0,,Not Acquired,,2023-08
64,100064,Retail,Micro (1-9),Northeast,Cash Back 2%,Lookalike Audience,650-699,7-15 yrs,2023-04-14,,0,0,1.88,0.0,-1.0,,Not Acquired,,2023-04
65,100065,Hospitality,Medium (50-249),Southeast,0% Intro APR,Cold List,700-749,1-3 yrs,2024-01-25,,0,0,1.95,0.0,-1.0,,Not Acquired,,2024-01
66,100066,Real Estate,Small (10-49),Midwest,Cash Back 2%,Past Inquiry,600-649,7-15 yrs,2023-10-12,,0,0,1.86,0.0,-1.0,,Not Acquired,,2023-10
67,100067,Logistics,Medium (50-249),Southwest,Cash Back 2%,Past Inquiry,700-749,7-15 yrs,2024-04-09,,0,0,1.73,0.0,-1.0,,Not Acquired,,2024-04
68,100068,Hospitality,Small (10-49),Southwest,0% Intro APR,Cold List,650-699,3-7 yrs,2024-10-12,,0,0,1.97,0.0,-1.0,,Not Acquired,,2024-10
69,100069,Construction,Small (10-49),Northeast,No Annual Fee,Cold List,650-699,3-7 yrs,2024-01-09,,0,0,1.59,0.0,-1.0,,Not Acquired,,2024-01
70,100070,Hospitality,Medium (50-249),Midwest,0% Intro APR,Cold List,800+,<1 yr,2023-06-16,2023-07-04,1,0,1.96,0.0,-1.0,,Not Acquired,18 days,2023-06
71,100071,Construction,Micro (1-9),Midwest,Cash Back 2%,Past Inquiry,650-699,15+ yrs,2023-12-30,,0,0,1.86,0.0,-1.0,,Not Acquired,,2023-12
72,100072,Manufacturing,Small (10-49),Northeast,Travel Miles 2x,Cold List,700-749,1-3 yrs,2023-08-03,,0,0,2.2,0.0,-1.0,,Not Acquired,,2023-08
73,100073,Manufacturing,Micro (1-9),Midwest,Cash Back 2%,Cold List,650-699,7-15 yrs,2024-11-17,,0,0,1.81,0.0,-1.0,,Not Acquired,,2024-11
74,100074,Manufacturing,Micro (1-9),West,Cash Back 2%,Past Inquiry,700-749,15+ yrs,2023-10-01,,0,0,1.78,0.0,-1.0,,Not Acquired,,2023-10
75,100075,Healthcare,Micro (1-9),Midwest,Cash Back 2%,Cold List,600-649,15+ yrs,2024-12-19,,0,0,1.84,0.0,-1.0,,Not Acquired,,2024-12
76,100076,Logistics,Medium (50-249),Southwest,0% Intro APR,Cold List,700-749,15+ yrs,2024-11-30,,0,0,1.95,0.0,-1.0,,Not Acquired,,2024-11
77,100077,Logistics,Small (10-49),Midwest,No Annual Fee,Cold List,800+,3-7 yrs,2024-10-25,,0,0,1.61,0.0,-1.0,,Not Acquired,,2024-10
78,100078,Finance,Large (250+),Midwest,0% Intro APR,Lookalike Audience,650-699,15+ yrs,2023-03-15,,0,0,1.99,0.0,-1.0,,Not Acquired,,2023-03
79,100079,Retail,Small (10-49),Midwest,Travel Miles 2x,Partner Referral,650-699,1-3 yrs,2024-09-15,,0,0,2.31,0.0,-1.0,,Not Acquired,,2024-09
80,100080,Healthcare,Medium (50-249),Midwest,Rewards Points 3x,Cold List,650-699,3-7 yrs,2024-10-12,,0,0,2.17,0.0,-1.0,,Not Acquired,,2024-10
81,100081,Hospitality,Micro (1-9),Southwest,Travel Miles 2x,Past Inquiry,750-799,7-15 yrs,2023-06-25,,0,0,2.26,0.0,-1.0,,Not Acquired,,2023-06
82,100082,Manufacturing,Micro (1-9),Southeast,Rewards Points 3x,Partner Referral,750-799,<1 yr,2024-06-30,,0,0,2.1,0.0,-1.0,,Not Acquired,,2024-06
83,100083,Manufacturing,Large (250+),West,No Annual Fee,Past Inquiry,700-749,7-15 yrs,2023-09-08,,0,0,1.67,0.0,-1.0,,Not Acquired,,2023-09
84,100084,Hospitality,Medium (50-249),Midwest,Cash Back 2%,Cold List,800+,15+ yrs,2023-06-17,,0,0,1.73,0.0,-1.0,,Not Acquired,,2023-06
85,100085,Education,Micro (1-9),West,Cash Back 2%,Past Inquiry,650-699,3-7 yrs,2024-04-18,,0,0,1.82,0.0,-1.0,,Not Acquired,,2024-04
86,100086,Real Estate,Large (250+),Southeast,Rewards Points 3x,Lookalike Audience,800+,1-3 yrs,2024-01-24,,0,0,2.0,0.0,-1.0,,Not Acquired,,2024-01
87,100087,Logistics,Small (10-49),West,Cash Back 2%,Cold List,750-799,1-3 yrs,2023-10-04,,0,0,1.71,0.0,-1.0,,Not Acquired,,2023-10
88,100088,Manufacturing,Small (10-49),Southwest,Travel Miles 2x,Lookalike Audience,700-749,3-7 yrs,2024-10-17,,0,0,2.21,0.0,-1.0,,Not Acquired,,2024-10
89,100089,Hospitality,Medium (50-249),West,Cash Back 2%,Cold List,750-799,3-7 yrs,2024-12-05,,0,0,1.72,0.0,-1.0,,Not Acquired,,2024-12
90,100090,Healthcare,Small (10-49),Northeast,Rewards Points 3x,Lookalike Audience,600-649,7-15 yrs,2024-07-24,,0,0,2.07,0.0,-1.0,,Not Acquired,,2024-07
91,100091,Real Estate,Micro (1-9),Southeast,Travel Miles 2x,Past Inquiry,700-749,7-15 yrs,2023-08-13,,0,0,2.33,0.0,-1.0,,Not Acquired,,2023-08
92,100092,Technology,Micro (1-9),Midwest,No Annual Fee,Lookalike Audience,700-749,7-15 yrs,2024-12-02,,0,0,1.71,0.0,-1.0,,Not Acquired,,2024-12
93,100093,Technology,Micro (1-9),Midwest,Travel Miles 2x,Partner Referral,600-649,7-15 yrs,2023-11-29,,0,0,2.21,0.0,-1.0,,Not Acquired,,2023-11
94,100094,Retail,Micro (1-9),Midwest,No Annual Fee,Partner Referral,750-799,3-7 yrs,2023-02-27,,0,0,1.72,0.0,-1.0,,Not Acquired,,2023-02
95,100095,Healthcare,Small (10-49),Southwest,Travel Miles 2x,Lookalike Audience,650-699,15+ yrs,2023-08-23,,0,0,2.24,0.0,-1.0,,Not Acquired,,2023-08
96,100096,Construction,Medium (50-249),Northeast,Rewards Points 3x,Lookalike Audience,700-749,7-15 yrs,2023-02-02,,0,0,2.03,0.0,-1.0,,Not Acquired,,2023-02
97,100097,Logistics,Small (10-49),West,Cash Back 2%,Cold List,700-749,1-3 yrs,2023-11-20,,0,0,1.89,0.0,-1.0,,Not Acquired,,2023-11
98,100098,Education,Small (10-49),Southeast,No Annual Fee,Past Inquiry,700-749,7-15 yrs,2024-02-15,,0,0,1.63,0.0,-1.0,,Not Acquired,,2024-02
99,100099,Finance,Micro (1-9),West,0% Intro APR,Partner Referral,750-799,1-3 yrs,2023-10-02,,0,0,1.97,0.0,-1.0,,Not Acquired,,2023-10
100,100100,Retail,Small (10-49),Southwest,Rewards Points 3x,Lookalike Audience,600-649,7-15 yrs,2023-03-09,,0,0,2.03,0.0,-1.0,,Not Acquired,,2023-03
101,100101,Finance,Medium (50-249),Midwest,Travel Miles 2x,Past Inquiry,750-799,15+ yrs,2023-08-05,,0,0,2.24,0.0,-1.0,,Not Acquired,,2023-08
102,100102,Finance,Small (10-49),Southeast,Travel Miles 2x,Lookalike Audience,800+,1-3 yrs,2024-08-03,,0,0,2.33,0.0,-1.0,,Not Acquired,,2024-08
103,100103,Logistics,Medium (50-249),West,Cash Back 2%,Cold List,700-749,1-3 yrs,2023-11-19,,0,0,1.83,0.0,-1.0,,Not Acquired,,2023-11
104,100104,Technology,Micro (1-9),Southwest,Travel Miles 2x,Partner Referral,750-799,15+ yrs,2023-08-06,,0,0,2.21,0.0,-1.0,,Not Acquired,,2023-08
105,100105,Retail,Large (250+),Northeast,Travel Miles 2x,Lookalike Audience,750-799,7-15 yrs,2024-11-02,,0,0,2.32,0.0,-1.0,,Not Acquired,,2024-11
106,100106,Construction,Large (250+),Southeast,Cash Back 2%,Lookalike Audience,600-649,7-15 yrs,2024-05-26,,0,0,1.83,0.0,-1.0,,Not Acquired,,2024-05
107,100107,Retail,Micro (1-9),West,Rewards Points 3x,Cold List,650-699,3-7 yrs,2024-02-10,,0,0,2.04,0.0,-1.0,,Not Acquired,,2024-02
108,100108,Healthcare,Medium (50-249),Southwest,0% Intro APR,Cold List,650-699,1-3 yrs,2024-10-20,,0,0,1.97,0.0,-1.0,,Not Acquired,,2024-10
109,100109,Healthcare,Medium (50-249),Midwest,Rewards Points 3x,Past Inquiry,750-799,3-7 yrs,2024-04-14,,0,0,2.11,0.0,-1.0,,Not Acquired,,2024-04
110,100110,Healthcare,Small (10-49),West,Rewards Points 3x,Partner Referral,600-649,1-3 yrs,2023-05-27,,0,0,2.2,0.0,-1.0,,Not Acquired,,2023-05
111,100111,Healthcare,Large (250+),Midwest,0% Intro APR,Partner Referral,700-749,7-15 yrs,2023-09-29,,0,0,1.93,0.0,-1.0,,Not Acquired,,2023-09
112,100112,Hospitality,Micro (1-9),Northeast,Rewards Points 3x,Cold List,600-649,3-7 yrs,2023-05-23,,0,0,2.15,0.0,-1.0,,Not Acquired,,2023-05
113,100113,Hospitality,Micro (1-9),Southwest,Rewards Points 3x,Cold List,700-749,3-7 yrs,2023-09-10,,0,0,2.2,0.0,-1.0,,Not Acquired,,2023-09
114,100114,Hospitality,Micro (1-9),Midwest,Rewards Points 3x,Past Inquiry,800+,7-15 yrs,2024-07-28,,0,0,2.2,0.0,-1.0,,Not Acquired,,2024-07
115,100115,Healthcare,Micro (1-9),Southwest,Travel Miles 2x,Cold List,700-749,1-3 yrs,2024-07-05,,0,0,2.27,0.0,-1.0,,Not Acquired,,2024-07
116,100116,Healthcare,Small (10-49),Northeast,Cash Back 2%,Partner Referral,650-699,7-15 yrs,2023-09-27,,0,0,1.82,0.0,-1.0,,Not Acquired,,2023-09
117,100117,Manufacturing,Large (250+),West,0% Intro APR,Cold List,750-799,1-3 yrs,2024-08-21,,0,0,1.88,0.0,-1.0,,Not Acquired,,2024-08
118,100118,Hospitality,Medium (50-249),Northeast,Cash Back 2%,Partner Referral,650-699,3-7 yrs,2024-03-14,,0,0,1.78,0.0,-1.0,,Not Acquired,,2024-03
119,100119,Technology,Large (250+),Southwest,Rewards Points 3x,Past Inquiry,700-749,3-7 yrs,2024-08-20,,0,0,2.01,0.0,-1.0,,Not Acquired,,2024-08
120,100120,Hospitality,Small (10-49),Southeast,Rewards Points 3x,Cold List,800+,3-7 yrs,2024-02-13,,0,0,2.01,0.0,-1.0,,Not Acquired,,2024-02
121,100121,Technology,Medium (50-249),Southeast,0% Intro APR,Partner Referral,650-699,1-3 yrs,2024-01-06,,0,0,2.02,0.0,-1.0,,Not Acquired,,2024-01
122,100122,Logistics,Micro (1-9),West,Cash Back 2%,Partner Referral,800+,15+ yrs,2023-08-13,,0,0,1.74,0.0,-1.0,,Not Acquired,,2023-08
123,100123,Logistics,Micro (1-9),Southeast,Rewards Points 3x,Past Inquiry,700-749,7-15 yrs,2023-05-22,,0,0,2.0,0.0,-1.0,,Not Acquired,,2023-05
124,100124,Education,Micro (1-9),West,0% Intro APR,Partner Referral,700-749,7-15 yrs,2024-06-05,,0,0,1.98,0.0,-1.0,,Not Acquired,,2024-06
125,100125,Construction,Micro (1-9),Southeast,Cash Back 2%,Partner Referral,650-699,15+ yrs,2024-05-20,,0,0,1.88,0.0,-1.0,,Not Acquired,,2024-05
126,100126,Manufacturing,Micro (1-9),Midwest,Cash Back 2%,Past Inquiry,600-649,15+ yrs,2023-04-04,,0,0,1.72,0.0,-1.0,,Not Acquired,,2023-04
127,100127,Manufacturing,Small (10-49),Southwest,No Annual Fee,Cold List,750-799,3-7 yrs,2023-02-18,,0,0,1.63,0.0,-1.0,,Not Acquired,,2023-02
128,100128,Education,Small (10-49),Southeast,No Annual Fee,Partner Referral,750-799,3-7 yrs,2023-04-23,,0,0,1.65,0.0,-1.0,,Not Acquired,,2023-04
129,100129,Healthcare,Medium (50-249),Southwest,0% Intro APR,Cold List,800+,3-7 yrs,2023-06-06,,0,0,1.94,0.0,-1.0,,Not Acquired,,2023-06
130,100130,Manufacturing,Small (10-49),Northeast,No Annual Fee,Partner Referral,650-699,<1 yr,2024-10-04,,0,0,1.61,0.0,-1.0,,Not Acquired,,2024-10
131,100131,Logistics,Medium (50-249),Southeast,Travel Miles 2x,Lookalike Audience,750-799,7-15 yrs,2023-06-13,,0,0,2.33,0.0,-1.0,,Not Acquired,,2023-06
132,100132,Healthcare,Medium (50-249),Midwest,No Annual Fee,Cold List,750-799,3-7 yrs,2024-11-27,,0,0,1.67,0.0,-1.0,,Not Acquired,,2024-11
133,100133,Education,Micro (1-9),Southwest,Travel Miles 2x,Lookalike Audience,700-749,3-7 yrs,2024-03-08,,0,0,2.15,0.0,-1.0,,Not Acquired,,2024-03
134,100134,Hospitality,Small (10-49),West,Cash Back 2%,Cold List,750-799,3-7 yrs,2024-09-02,,0,0,1.8,0.0,-1.0,,Not Acquired,,2024-09
135,100135,Logistics,Medium (50-249),Northeast,0% Intro APR,Lookalike Audience,650-699,3-7 yrs,2023-03-07,,0,0,2.04,0.0,-1.0,,Not Acquired,,2023-03
136,100136,Construction,Micro (1-9),Northeast,Rewards Points 3x,Past Inquiry,800+,1-3 yrs,2024-01-30,,0,0,2.11,0.0,-1.0,,Not Acquired,,2024-01
137,100137,Manufacturing,Small (10-49),Southeast,Rewards Points 3x,Past Inquiry,650-699,7-15 yrs,2024-01-26,,0,0,2.03,0.0,-1.0,,Not Acquired,,2024-01
138,100138,Technology,Medium (50-249),Northeast,Cash Back 2%,Cold List,750-799,15+ yrs,2024-09-02,,0,0,1.87,0.0,-1.0,,Not Acquired,,2024-09
139,100139,Education,Small (10-49),Southwest,Rewards Points 3x,Past Inquiry,700-749,7-15 yrs,2024-04-24,,0,0,2.03,0.0,-1.0,,Not Acquired,,2024-04
140,100140,Education,Small (10-49),Northeast,No Annual Fee,Lookalike Audience,800+,3-7 yrs,2024-06-25,,0,0,1.69,0.0,-1.0,,Not Acquired,,2024-06
141,100141,Technology,Micro (1-9),Southeast,0% Intro APR,Cold List,750-799,<1 yr,2023-09-15,2023-10-09,1,0,1.89,0.0,-1.0,,Not Acquired,24 days,2023-09
142,100142,Retail,Medium (50-249),Northeast,No Annual Fee,Past Inquiry,700-749,15+ yrs,2023-01-12,,0,0,1.62,0.0,-1.0,,Not Acquired,,2023-01
143,100143,Hospitality,Small (10-49),Midwest,Cash Back 2%,Lookalike Audience,800+,3-7 yrs,2024-11-27,,0,0,1.87,0.0,-1.0,,Not Acquired,,2024-11
144,100144,Real Estate,Large (250+),Southeast,No Annual Fee,Cold List,650-699,7-15 yrs,2023-04-28,,0,0,1.69,0.0,-1.0,,Not Acquired,,2023-04
145,100145,Education,Small (10-49),Southeast,No Annual Fee,Partner Referral,700-749,7-15 yrs,2024-11-29,,0,0,1.71,0.0,-1.0,,Not Acquired,,2024-11
146,100146,Logistics,Small (10-49),Northeast,0% Intro APR,Cold List,700-749,7-15 yrs,2024-07-03,,0,0,1.85,0.0,-1.0,,Not Acquired,,2024-07
147,100147,Manufacturing,Large (250+),Midwest,Rewards Points 3x,Cold List,750-799,3-7 yrs,2023-10-01,,0,0,2.07,0.0,-1.0,,Not Acquired,,2023-10
148,100148,Manufacturing,Small (10-49),Southwest,Cash Back 2%,Cold List,700-749,7-15 yrs,2024-10-18,,0,0,1.82,0.0,-1.0,,Not Acquired,,2024-10
149,100149,Retail,Medium (50-249),Southwest,Travel Miles 2x,Partner Referral,800+,1-3 yrs,2023-12-15,,0,0,2.15,0.0,-1.0,,Not Acquired,,2023-12
150,100150,Finance,Large (250+),West,Cash Back 2%,Cold List,700-749,<1 yr,2023-04-25,,0,0,1.77,0.0,-1.0,,Not Acquired,,2023-04
151,100151,Real Estate,Small (10-49),Southeast,0% Intro APR,Cold List,700-749,7-15 yrs,2023-10-28,,0,0,2.02,0.0,-1.0,,Not Acquired,,2023-10
152,100152,Healthcare,Micro (1-9),Southwest,No Annual Fee,Cold List,650-699,7-15 yrs,2024-03-21,,0,0,1.59,0.0,-1.0,,Not Acquired,,2024-03
153,100153,Construction,Medium (50-249),Southeast,Cash Back 2%,Past Inquiry,750-799,15+ yrs,2023-06-11,,0,0,1.8,0.0,-1.0,,Not Acquired,,2023-06
154,100154,Hospitality,Medium (50-249),Midwest,Cash Back 2%,Past Inquiry,700-749,7-15 yrs,2024-04-09,,0,0,1.83,0.0,-1.0,,Not Acquired,,2024-04
