prospect_id,industry,business_size,region,offer_type,acquisition_channel,credit_score_band,years_in_business,mailer_sent_date,response_date,response_flag,acquisition_flag,mailing_cost_usd,estimated_monthly_charge_volume_usd,roi,cost_per_acquisition,prospect_value_tier
100020,Logistics,Micro (1-9),Midwest,Travel Miles 2x,Partner Referral,650-699,15+ yrs,2024-10-27,,0,0,2.16,0.0,-1.0,,Not Acquired
100021,Manufacturing,Small (10-49),Northeast,0% Intro APR,Partner Referral,700-749,15+ yrs,2024-12-19,,0,0,1.95,0.0,-1.0,,Not Acquired
100022,Manufacturing,Medium (50-249),Northeast,No Annual Fee,Cold List,700-749,7-15 yrs,2024-07-12,,0,0,1.69,0.0,-1.0,,Not Acquired
100023,Technology,Small (10-49),West,0% Intro APR,Partner Referral,700-749,3-7 yrs,2024-03-05,,0,0,1.95,0.0,-1.0,,Not Acquired
100024,Finance,Micro (1-9),Midwest,Travel Miles 2x,Cold List,800+,15+ yrs,2023-08-14,,0,0,2.35,0.0,-1.0,,Not Acquired
100025,Technology,Medium (50-249),West,No Annual Fee,Lookalike Audience,700-749,15+ yrs,2024-04-04,2024-04-29,1,0,1.62,0.0,-1.0,,Not Acquired
100026,Technology,Micro (1-9),Northeast,Rewards Points 3x,Partner Referral,750-799,15+ yrs,2023-10-12,,0,0,2.02,0.0,-1.0,,Not Acquired
100027,Healthcare,Micro (1-9),Southeast,Rewards Points 3x,Cold List,700-749,3-7 yrs,2023-01-07,,0,0,2.14,0.0,-1.0,,Not Acquired
100028,Real Estate,Medium (50-249),Northeast,No Annual Fee,Cold List,600-649,3-7 yrs,2023-06-13,,0,0,1.6,0.0,-1.0,,Not Acquired
100029,Technology,Micro (1-9),Southwest,Rewards Points 3x,Cold List,700-749,3-7 yrs,2024-12-15,,0,0,2.09,0.0,-1.0,,Not Acquired
100030,Real Estate,Medium (50-249),Northeast,Travel Miles 2x,Cold List,750-799,3-7 yrs,2024-03-08,,0,0,2.21,0.0,-1.0,,Not Acquired
100031,Finance,Small (10-49),West,Travel Miles 2x,Lookalike Audience,800+,7-15 yrs,2023-12-15,,0,0,2.17,0.0,-1.0,,Not Acquired
100032,Technology,Medium (50-249),Midwest,Travel Miles 2x,Past Inquiry,700-749,7-15 yrs,2023-10-12,,0,0,2.16,0.0,-1.0,,Not Acquired
100033,Retail,Micro (1-9),Northeast,Rewards Points 3x,Cold List,750-799,7-15 yrs,2023-06-09,,0,0,2.19,0.0,-1.0,,Not Acquired
100034,Finance,Small (10-49),Midwest,Travel Miles 2x,Lookalike Audience,600-649,1-3 yrs,2023-08-09,,0,0,2.21,0.0,-1.0,,Not Acquired
100035,Manufacturing,Micro (1-9),Southeast,Rewards Points 3x,Lookalike Audience,700-749,7-15 yrs,2023-12-11,,0,0,2.09,0.0,-1.0,,Not Acquired
100036,Finance,Medium (50-249),Southwest,Rewards Points 3x,Lookalike Audience,650-699,<1 yr,2023-04-15,,0,0,2.13,0.0,-1.0,,Not Acquired
100037,Education,Large (250+),Southwest,0% Intro APR,Past Inquiry,750-799,15+ yrs,2023-04-05,,0,0,1.88,0.0,-1.0,,Not Acquired
100038,Technology,Medium (50-249),Southeast,0% Intro APR,Cold List,600-649,7-15 yrs,2024-01-25,,0,0,1.86,0.0,-1.0,,Not Acquired
100039,Retail,Small (10-49),West,Rewards Points 3x,Past Inquiry,750-799,3-7 yrs,2023-04-10,,0,0,2.1,0.0,-1.0,,Not Acquired
100040,Hospitality,Medium (50-249),West,No Annual Fee,Cold List,800+,3-7 yrs,2024-01-03,,0,0,1.7,0.0,-1.0,,Not Acquired
100041,Healthcare,Micro (1-9),West,Travel Miles 2x,Lookalike Audience,800+,7-15 yrs,2023-12-19,,0,0,2.16,0.0,-1.0,,Not Acquired
100042,Logistics,Micro (1-9),Midwest,0% Intro APR,Cold List,700-749,15+ yrs,2024-09-10,,0,0,1.87,0.0,-1.0,,Not Acquired
100043,Manufacturing,Small (10-49),West,No Annual Fee,Cold List,750-799,15+ yrs,2023-09-28,,0,0,1.69,0.0,-1.0,,Not Acquired
100044,Finance,Small (10-49),Southeast,No Annual Fee,Past Inquiry,750-799,15+ yrs,2023-02-14,,0,0,1.73,0.0,-1.0,,Not Acquired
100045,Retail,Micro (1-9),West,Rewards Points 3x,Cold List,650-699,7-15 yrs,2024-04-15,,0,0,2.1,0.0,-1.0,,Not Acquired
100046,Retail,Medium (50-249),Northeast,Cash Back 2%,Lookalike Audience,700-749,7-15 yrs,2024-07-03,,0,0,1.8,0.0,-1.0,,Not Acquired
100047,Real Estate,Large (250+),Midwest,No Annual Fee,Cold List,650-699,7-15 yrs,2023-05-08,,0,0,1.59,0.0,-1.0,,Not Acquired
100048,Retail,Small (10-49),Southwest,Cash Back 2%,Cold List,800+,<1 yr,2024-01-23,,0,0,1.75,0.0,-1.0,,Not Acquired
100049,Finance,Micro (1-9),West,0% Intro APR,Partner Referral,650-699,1-3 yrs,2023-03-22,,0,0,1.87,0.0,-1.0,,Not Acquired
100050,Retail,Small (10-49),Midwest,Cash Back 2%,Partner Referral,650-699,3-7 yrs,2024-07-19,,0,0,1.78,0.0,-1.0,,Not Acquired
100051,Real Estate,Micro (1-9),Southeast,Rewards Points 3x,Cold List,700-749,<1 yr,2023-10-28,,0,0,2.05,0.0,-1.0,,Not Acquired
100052,Logistics,Micro (1-9),Southwest,No Annual Fee,Past Inquiry,800+,7-15 yrs,2024-10-05,,0,0,1.7,0.0,-1.0,,Not Acquired
100053,Logistics,Small (10-49),Southeast,0% Intro APR,Cold List,800+,1-3 yrs,2024-09-25,,0,0,2.01,0.0,-1.0,,Not Acquired
100054,Finance,Medium (50-249),Northeast,0% Intro APR,Past Inquiry,650-699,<1 yr,2024-01-06,,0,0,1.93,0.0,-1.0,,Not Acquired
100055,Construction,Small (10-49),West,No Annual Fee,Partner Referral,750-799,1-3 yrs,2024-08-14,,0,0,1.72,0.0,-1.0,,Not Acquired
100056,Logistics,Micro (1-9),Midwest,No Annual Fee,Lookalike Audience,700-749,1-3 yrs,2023-07-16,,0,0,1.67,0.0,-1.0,,Not Acquired
100057,Real Estate,Small (10-49),Midwest,0% Intro APR,Cold List,700-749,3-7 yrs,2024-12-22,2024-12-31,1,1,2.01,7391.61,72.5484,2.01,Mid Value
100058,Finance,Small (10-49),Southeast,0% Intro APR,Cold List,700-749,3-7 yrs,2023-02-16,,0,0,1.92,0.0,-1.0,,Not Acquired
100059,Technology,Large (250+),Southwest,Cash Back 2%,Lookalike Audience,800+,15+ yrs,2024-11-08,,0,0,1.82,0.0,-1.0,,Not Acquired
100060,Manufacturing,Small (10-49),Northeast,Rewards Points 3x,Past Inquiry,700-749,1-3 yrs,2023-08-22,,0,0,2.13,0.0,-1.0,,Not Acquired
100061,Technology,Small (10-49),Midwest,Travel Miles 2x,Cold List,750-799,1-3 yrs,2023-10-24,,0,0,2.24,0.0,-1.0,,Not Acquired
100062,Real Estate,Micro (1-9),West,No Annual Fee,Cold List,700-749,3-7 yrs,2023-03-23,,0,0,1.66,0.0,-1.0,,Not Acquired
100063,Healthcare,Micro (1-9),Southeast,No Annual Fee,Cold List,700-749,1-3 yrs,2023-08-27,,0,0,1.68,0.0,-1.0,,Not Acquired
100064,Retail,Micro (1-9),Northeast,Cash Back 2%,Lookalike Audience,650-699,7-15 yrs,2023-04-14,,0,0,1.88,0.0,-1.0,,Not Acquired
100065,Hospitality,Medium (50-249),Southeast,0% Intro APR,Cold List,700-749,1-3 yrs,2024-01-25,,0,0,1.95,0.0,-1.0,,Not Acquired
100066,Real Estate,Small (10-49),Midwest,Cash Back 2%,Past Inquiry,600-649,7-15 yrs,2023-10-12,,0,0,1.86,0.0,-1.0,,Not Acquired
100067,Logistics,Medium (50-249),Southwest,Cash Back 2%,Past Inquiry,700-749,7-15 yrs,2024-04-09,,0,0,1.73,0.0,-1.0,,Not Acquired
100068,Hospitality,Small (10-49),Southwest,0% Intro APR,Cold List,650-699,3-7 yrs,2024-10-12,,0,0,1.97,0.0,-1.0,,Not Acquired
100069,Construction,Small (10-49),Northeast,No Annual Fee,Cold List,650-699,3-7 yrs,2024-01-09,,0,0,1.59,0.0,-1.0,,Not Acquired
100070,Hospitality,Medium (50-249),Midwest,0% Intro APR,Cold List,800+,<1 yr,2023-06-16,2023-07-04,1,0,1.96,0.0,-1.0,,Not Acquired
100071,Construction,Micro (1-9),Midwest,Cash Back 2%,Past Inquiry,650-699,15+ yrs,2023-12-30,,0,0,1.86,0.0,-1.0,,Not Acquired
100072,Manufacturing,Small (10-49),Northeast,Travel Miles 2x,Cold List,700-749,1-3 yrs,2023-08-03,,0,0,2.2,0.0,-1.0,,Not Acquired
100073,Manufacturing,Micro (1-9),Midwest,Cash Back 2%,Cold List,650-699,7-15 yrs,2024-11-17,,0,0,1.81,0.0,-1.0,,Not Acquired
100074,Manufacturing,Micro (1-9),West,Cash Back 2%,Past Inquiry,700-749,15+ yrs,2023-10-01,,0,0,1.78,0.0,-1.0,,Not Acquired
100075,Healthcare,Micro (1-9),Midwest,Cash Back 2%,Cold List,600-649,15+ yrs,2024-12-19,,0,0,1.84,0.0,-1.0,,Not Acquired
100076,Logistics,Medium (50-249),Southwest,0% Intro APR,Cold List,700-749,15+ yrs,2024-11-30,,0,0,1.95,0.0,-1.0,,Not Acquired
100077,Logistics,Small (10-49),Midwest,No Annual Fee,Cold List,800+,3-7 yrs,2024-10-25,,0,0,1.61,0.0,-1.0,,Not Acquired
100078,Finance,Large (250+),Midwest,0% Intro APR,Lookalike Audience,650-699,15+ yrs,2023-03-15,,0,0,1.99,0.0,-1.0,,Not Acquired
100079,Retail,Small (10-49),Midwest,Travel Miles 2x,Partner Referral,650-699,1-3 yrs,2024-09-15,,0,0,2.31,0.0,-1.0,,Not Acquired
100080,Healthcare,Medium (50-249),Midwest,Rewards Points 3x,Cold List,650-699,3-7 yrs,2024-10-12,,0,0,2.17,0.0,-1.0,,Not Acquired
100081,Hospitality,Micro (1-9),Southwest,Travel Miles 2x,Past Inquiry,750-799,7-15 yrs,2023-06-25,,0,0,2.26,0.0,-1.0,,Not Acquired
100082,Manufacturing,Micro (1-9),Southeast,Rewards Points 3x,Partner Referral,750-799,<1 yr,2024-06-30,,0,0,2.1,0.0,-1.0,,Not Acquired
100083,Manufacturing,Large (250+),West,No Annual Fee,Past Inquiry,700-749,7-15 yrs,2023-09-08,,0,0,1.67,0.0,-1.0,,Not Acquired
100084,Hospitality,Medium (50-249),Midwest,Cash Back 2%,Cold List,800+,15+ yrs,2023-06-17,,0,0,1.73,0.0,-1.0,,Not Acquired
100085,Education,Micro (1-9),West,Cash Back 2%,Past Inquiry,650-699,3-7 yrs,2024-04-18,,0,0,1.82,0.0,-1.0,,Not Acquired
100086,Real Estate,Large (250+),Southeast,Rewards Points 3x,Lookalike Audience,800+,1-3 yrs,2024-01-24,,0,0,2.0,0.0,-1.0,,Not Acquired
100087,Logistics,Small (10-49),West,Cash Back 2%,Cold List,750-799,1-3 yrs,2023-10-04,,0,0,1.71,0.0,-1.0,,Not Acquired
100088,Manufacturing,Small (10-49),Southwest,Travel Miles 2x,Lookalike Audience,700-749,3-7 yrs,2024-10-17,,0,0,2.21,0.0,-1.0,,Not Acquired
100089,Hospitality,Medium (50-249),West,Cash Back 2%,Cold List,750-799,3-7 yrs,2024-12-05,,0,0,1.72,0.0,-1.0,,Not Acquired
100090,Healthcare,Small (10-49),Northeast,Rewards Points 3x,Lookalike Audience,600-649,7-15 yrs,2024-07-24,,0,0,2.07,0.0,-1.0,,Not Acquired
100091,Real Estate,Micro (1-9),Southeast,Travel Miles 2x,Past Inquiry,700-749,7-15 yrs,2023-08-13,,0,0,2.33,0.0,-1.0,,Not Acquired
100092,Technology,Micro (1-9),Midwest,No Annual Fee,Lookalike Audience,700-749,7-15 yrs,2024-12-02,,0,0,1.71,0.0,-1.0,,Not Acquired
100093,Technology,Micro (1-9),Midwest,Travel Miles 2x,Partner Referral,600-649,7-15 yrs,2023-11-29,,0,0,2.21,0.0,-1.0,,Not Acquired
100094,Retail,Micro (1-9),Midwest,No Annual Fee,Partner Referral,750-799,3-7 yrs,2023-02-27,,0,0,1.72,0.0,-1.0,,Not Acquired
100095,Healthcare,Small (10-49),Southwest,Travel Miles 2x,Lookalike Audience,650-699,15+ yrs,2023-08-23,,0,0,2.24,0.0,-1.0,,Not Acquired
100096,Construction,Medium (50-249),Northeast,Rewards Points 3x,Lookalike Audience,700-749,7-15 yrs,2023-02-02,,0,0,2.03,0.0,-1.0,,Not Acquired
100097,Logistics,Small (10-49),West,Cash Back 2%,Cold List,700-749,1-3 yrs,2023-11-20,,0,0,1.89,0.0,-1.0,,Not Acquired
100098,Education,Small (10-49),Southeast,No Annual Fee,Past Inquiry,700-749,7-15 yrs,2024-02-15,,0,0,1.63,0.0,-1.0,,Not Acquired
100099,Finance,Micro (1-9),West,0% Intro APR,Partner Referral,750-799,1-3 yrs,2023-10-02,,0,0,1.97,0.0,-1.0,,Not Acquired
100100,Retail,Small (10-49),Southwest,Rewards Points 3x,Lookalike Audience,600-649,7-15 yrs,2023-03-09,,0,0,2.03,0.0,-1.0,,Not Acquired
100101,Finance,Medium (50-249),Midwest,Travel Miles 2x,Past Inquiry,750-799,15+ yrs,2023-08-05,,0,0,2.24,0.0,-1.0,,Not Acquired
100102,Finance,Small (10-49),Southeast,Travel Miles 2x,Lookalike Audience,800+,1-3 yrs,2024-08-03,,0,0,2.33,0.0,-1.0,,Not Acquired
100103,Logistics,Medium (50-249),West,Cash Back 2%,Cold List,700-749,1-3 yrs,2023-11-19,,0,0,1.83,0.0,-1.0,,Not Acquired
100104,Technology,Micro (1-9),Southwest,Travel Miles 2x,Partner Referral,750-799,15+ yrs,2023-08-06,,0,0,2.21,0.0,-1.0,,Not Acquired
100105,Retail,Large (250+),Northeast,Travel Miles 2x,Lookalike Audience,750-799,7-15 yrs,2024-11-02,,0,0,2.32,0.0,-1.0,,Not Acquired
100106,Construction,Large (250+),Southeast,Cash Back 2%,Lookalike Audience,600-649,7-15 yrs,2024-05-26,,0,0,1.83,0.0,-1.0,,Not Acquired
100107,Retail,Micro (1-9),West,Rewards Points 3x,Cold List,650-699,3-7 yrs,2024-02-10,,0,0,2.04,0.0,-1.0,,Not Acquired
100108,Healthcare,Medium (50-249),Southwest,0% Intro APR,Cold List,650-699,1-3 yrs,2024-10-20,,0,0,1.97,0.0,-1.0,,Not Acquired
100109,Healthcare,Medium (50-249),Midwest,Rewards Points 3x,Past Inquiry,750-799,3-7 yrs,2024-04-14,,0,0,2.11,0.0,-1.0,,Not Acquired
100110,Healthcare,Small (10-49),West,Rewards Points 3x,Partner Referral,600-649,1-3 yrs,2023-05-27,,0,0,2.2,0.0,-1.0,,Not Acquired
100111,Healthcare,Large (250+),Midwest,0% Intro APR,Partner Referral,700-749,7-15 yrs,2023-09-29,,0,0,1.93,0.0,-1.0,,Not Acquired
100112,Hospitality,Micro (1-9),Northeast,Rewards Points 3x,Cold List,600-649,3-7 yrs,2023-05-23,,0,0,2.15,0.0,-1.0,,Not Acquired
100113,Hospitality,Micro (1-9),Southwest,Rewards Points 3x,Cold List,700-749,3-7 yrs,2023-09-10,,0,0,2.2,0.0,-1.0,,Not Acquired
100114,Hospitality,Micro (1-9),Midwest,Rewards Points 3x,Past Inquiry,800+,7-15 yrs,2024-07-28,,0,0,2.2,0.0,-1.0,,Not Acquired
100115,Healthcare,Micro (1-9),Southwest,Travel Miles 2x,Cold List,700-749,1-3 yrs,2024-07-05,,0,0,2.27,0.0,-1.0,,Not Acquired
100116,Healthcare,Small (10-49),Northeast,Cash Back 2%,Partner Referral,650-699,7-15 yrs,2023-09-27,,0,0,1.82,0.0,-1.0,,Not Acquired
100117,Manufacturing,Large (250+),West,0% Intro APR,Cold List,750-799,1-3 yrs,2024-08-21,,0,0,1.88,0.0,-1.0,,Not Acquired
100118,Hospitality,Medium (50-249),Northeast,Cash Back 2%,Partner Referral,650-699,3-7 yrs,2024-03-14,,0,0,1.78,0.0,-1.0,,Not Acquired
100119,Technology,Large (250+),Southwest,Rewards Points 3x,Past Inquiry,700-749,3-7 yrs,2024-08-20,,0,0,2.01,0.0,-1.0,,Not Acquired
100120,Hospitality,Small (10-49),Southeast,Rewards Points 3x,Cold List,800+,3-7 yrs,2024-02-13,,0,0,2.01,0.0,-1.0,,Not Acquired
100121,Technology,Medium (50-249),Southeast,0% Intro APR,Partner Referral,650-699,1-3 yrs,2024-01-06,,0,0,2.02,0.0,-1.0,,Not Acquired
100122,Logistics,Micro (1-9),West,Cash Back 2%,Partner Referral,800+,15+ yrs,2023-08-13,,0,0,1.74,0.0,-1.0,,Not Acquired
100123,Logistics,Micro (1-9),Southeast,Rewards Points 3x,Past Inquiry,700-749,7-15 yrs,2023-05-22,,0,0,2.0,0.0,-1.0,,Not Acquired
100124,Education,Micro (1-9),West,0% Intro APR,Partner Referral,700-749,7-15 yrs,2024-06-05,,0,0,1.98,0.0,-1.0,,Not Acquired
100125,Construction,Micro (1-9),Southeast,Cash Back 2%,Partner Referral,650-699,15+ yrs,2024-05-20,,0,0,1.88,0.0,-1.0,,Not Acquired
100126,Manufacturing,Micro (1-9),Midwest,Cash Back 2%,Past Inquiry,600-649,15+ yrs,2023-04-04,,0,0,1.72,0.0,-1.0,,Not Acquired
100127,Manufacturing,Small (10-49),Southwest,No Annual Fee,Cold List,750-799,3-7 yrs,2023-02-18,,0,0,1.63,0.0,-1.0,,Not Acquired
100128,Education,Small (10-49),Southeast,No Annual Fee,Partner Referral,750-799,3-7 yrs,2023-04-23,,0,0,1.65,0.0,-1.0,,Not Acquired
100129,Healthcare,Medium (50-249),Southwest,0% Intro APR,Cold List,800+,3-7 yrs,2023-06-06,,0,0,1.94,0.0,-1.0,,Not Acquired
100130,Manufacturing,Small (10-49),Northeast,No Annual Fee,Partner Referral,650-699,<1 yr,2024-10-04,,0,0,1.61,0.0,-1.0,,Not Acquired
100131,Logistics,Medium (50-249),Southeast,Travel Miles 2x,Lookalike Audience,750-799,7-15 yrs,2023-06-13,,0,0,2.33,0.0,-1.0,,Not Acquired
100132,Healthcare,Medium (50-249),Midwest,No Annual Fee,Cold List,750-799,3-7 yrs,2024-11-27,,0,0,1.67,0.0,-1.0,,Not Acquired
100133,Education,Micro (1-9),Southwest,Travel Miles 2x,Lookalike Audience,700-749,3-7 yrs,2024-03-08,,0,0,2.15,0.0,-1.0,,Not Acquired
100134,Hospitality,Small (10-49),West,Cash Back 2%,Cold List,750-799,3-7 yrs,2024-09-02,,0,0,1.8,0.0,-1.0,,Not Acquired
100135,Logistics,Medium (50-249),Northeast,0% Intro APR,Lookalike Audience,650-699,3-7 yrs,2023-03-07,,0,0,2.04,0.0,-1.0,,Not Acquired
100136,Construction,Micro (1-9),Northeast,Rewards Points 3x,Past Inquiry,800+,1-3 yrs,2024-01-30,,0,0,2.11,0.0,-1.0,,Not Acquired
100137,Manufacturing,Small (10-49),Southeast,Rewards Points 3x,Past Inquiry,650-699,7-15 yrs,2024-01-26,,0,0,2.03,0.0,-1.0,,Not Acquired
100138,Technology,Medium (50-249),Northeast,Cash Back 2%,Cold List,750-799,15+ yrs,2024-09-02,,0,0,1.87,0.0,-1.0,,Not Acquired
100139,Education,Small (10-49),Southwest,Rewards Points 3x,Past Inquiry,700-749,7-15 yrs,2024-04-24,,0,0,2.03,0.0,-1.0,,Not Acquired
100140,Education,Small (10-49),Northeast,No Annual Fee,Lookalike Audience,800+,3-7 yrs,2024-06-25,,0,0,1.69,0.0,-1.0,,Not Acquired
100141,Technology,Micro (1-9),Southeast,0% Intro APR,Cold List,750-799,<1 yr,2023-09-15,2023-10-09,1,0,1.89,0.0,-1.0,,Not Acquired
100142,Retail,Medium (50-249),Northeast,No Annual Fee,Past Inquiry,700-749,15+ yrs,2023-01-12,,0,0,1.62,0.0,-1.0,,Not Acquired
100143,Hospitality,Small (10-49),Midwest,Cash Back 2%,Lookalike Audience,800+,3-7 yrs,2024-11-27,,0,0,1.87,0.0,-1.0,,Not Acquired
100144,Real Estate,Large (250+),Southeast,No Annual Fee,Cold List,650-699,7-15 yrs,2023-04-28,,0,0,1.69,0.0,-1.0,,Not Acquired
100145,Education,Small (10-49),Southeast,No Annual Fee,Partner Referral,700-749,7-15 yrs,2024-11-29,,0,0,1.71,0.0,-1.0,,Not Acquired
100146,Logistics,Small (10-49),Northeast,0% Intro APR,Cold List,700-749,7-15 yrs,2024-07-03,,0,0,1.85,0.0,-1.0,,Not Acquired
100147,Manufacturing,Large (250+),Midwest,Rewards Points 3x,Cold List,750-799,3-7 yrs,2023-10-01,,0,0,2.07,0.0,-1.0,,Not Acquired
100148,Manufacturing,Small (10-49),Southwest,Cash Back 2%,Cold List,700-749,7-15 yrs,2024-10-18,,0,0,1.82,0.0,-1.0,,Not Acquired
100149,Retail,Medium (50-249),Southwest,Travel Miles 2x,Partner Referral,800+,1-3 yrs,2023-12-15,,0,0,2.15,0.0,-1.0,,Not Acquired
100150,Finance,Large (250+),West,Cash Back 2%,Cold List,700-749,<1 yr,2023-04-25,,0,0,1.77,0.0,-1.0,,Not Acquired
100151,Real Estate,Small (10-49),Southeast,0% Intro APR,Cold List,700-749,7-15 yrs,2023-10-28,,0,0,2.02,0.0,-1.0,,Not Acquired
100152,Healthcare,Micro (1-9),Southwest,No Annual Fee,Cold List,650-699,7-15 yrs,2024-03-21,,0,0,1.59,0.0,-1.0,,Not Acquired
100153,Construction,Medium (50-249),Southeast,Cash Back 2%,Past Inquiry,750-799,15+ yrs,2023-06-11,,0,0,1.8,0.0,-1.0,,Not Acquired
100154,Hospitality,Medium (50-249),Midwest,Cash Back 2%,Past Inquiry,700-749,7-15 yrs,2024-04-09,,0,0,1.83,0.0,-1.0,,Not Acquired
100155,Real Estate,Micro (1-9),Southeast,Rewards Points 3x,Lookalike Audience,750-799,1-3 yrs,2023-01-04,,0,0,2.2,0.0,-1.0,,Not Acquired
100156,Logistics,Micro (1-9),Southeast,No Annual Fee,Past Inquiry,800+,3-7 yrs,2023-09-27,,0,0,1.72,0.0,-1.0,,Not Acquired
100157,Retail,Micro (1-9),Northeast,No Annual Fee,Cold List,700-749,3-7 yrs,2024-05-27,,0,0,1.68,0.0,-1.0,,Not Acquired
100158,Retail,Small (10-49),Midwest,Travel Miles 2x,Cold List,750-799,7-15 yrs,2023-07-02,,0,0,2.28,0.0,-1.0,,Not Acquired
100159,Finance,Medium (50-249),Southeast,Travel Miles 2x,Cold List,700-749,7-15 yrs,2024-06-03,,0,0,2.23,0.0,-1.0,,Not Acquired
100160,Education,Medium (50-249),Southeast,Travel Miles 2x,Partner Referral,750-799,15+ yrs,2023-04-19,,0,0,2.14,0.0,-1.0,,Not Acquired
100161,Logistics,Small (10-49),Midwest,Travel Miles 2x,Partner Referral,650-699,3-7 yrs,2024-10-02,,0,0,2.25,0.0,-1.0,,Not Acquired
100162,Technology,Small (10-49),Southeast,Travel Miles 2x,Past Inquiry,700-749,1-3 yrs,2023-11-02,,0,0,2.32,0.0,-1.0,,Not Acquired
100163,Real Estate,Medium (50-249),Northeast,Rewards Points 3x,Cold List,750-799,3-7 yrs,2024-10-16,,0,0,2.01,0.0,-1.0,,Not Acquired
100164,Real Estate,Micro (1-9),West,No Annual Fee,Partner Referral,700-749,15+ yrs,2024-06-03,,0,0,1.67,0.0,-1.0,,Not Acquired
100165,Hospitality,Medium (50-249),Northeast,Rewards Points 3x,Cold List,750-799,15+ yrs,2024-09-15,,0,0,2.17,0.0,-1.0,,Not Acquired
100166,Technology,Small (10-49),Northeast,Rewards Points 3x,Cold List,700-749,1-3 yrs,2023-07-23,,0,0,2.09,0.0,-1.0,,Not Acquired
100167,Finance,Small (10-49),Southwest,0% Intro APR,Cold List,800+,1-3 yrs,2023-06-06,,0,0,1.95,0.0,-1.0,,Not Acquired
100168,Finance,Small (10-49),Southeast,No Annual Fee,Past Inquiry,700-749,3-7 yrs,2024-01-18,2024-01-30,1,1,1.58,6625.5,82.8671,1.58,Mid Value
100169,Manufacturing,Micro (1-9),Northeast,Travel Miles 2x,Cold List,600-649,7-15 yrs,2024-07-06,,0,0,2.22,0.0,-1.0,,Not Acquired
